5109243.2462	2006797.8657	-3239112.7373	13.5	M000	ALT-AZ
5109256.5818	2006813.1682	-3239082.126	13.5	M001	ALT-AZ
5109243.9171	2006772.4952	-3239127.3403	13.5	M002	ALT-AZ
5109266.657	2006744.4674	-3239108.2839	13.5	M003	ALT-AZ
5109263.6398	2006681.9128	-3239151.9405	13.5	M004	ALT-AZ
5109241.7033	2006696.4329	-3239178.078	13.5	M005	ALT-AZ
5109205.712	2006772.4085	-3239188.9832	13.5	M006	ALT-AZ
5109180.998	2006685.993	-3239281.3577	13.5	M007	ALT-AZ
5109120.0771	2006657.8872	-3239395.4414	13.5	M008	ALT-AZ
5109151.7501	2006805.5465	-3239254.3189	13.5	M009	ALT-AZ
5109065.2871	2006831.4555	-3239375.9048	13.5	M010	ALT-AZ
5109141.8763	2006857.1541	-3239238.0548	13.5	M011	ALT-AZ
5109113.9889	2006906.3786	-3239252.0776	13.5	M012	ALT-AZ
5109067.1981	2006991.9931	-3239274.0359	13.5	M013	ALT-AZ
5109101.8514	2007052.7292	-3239181.1996	13.5	M014	ALT-AZ
5109158.4813	2006999.7369	-3239123.5157	13.5	M015	ALT-AZ
5109146.0089	2007078.1213	-3239094.9384	13.5	M016	ALT-AZ
5109212.7092	2007009.1673	-3239031.218	13.5	M017	ALT-AZ
5109183.9326	2006897.0427	-3239146.396	13.5	M018	ALT-AZ
5109141.9161	2006950.4032	-3239180.4917	13.5	M019	ALT-AZ
5109161.8663	2006878.9912	-3239192.8	13.5	M020	ALT-AZ
5109291.0346	2006507.5012	-3239215.5798	13.5	M021	ALT-AZ
5109387.58	2006517.0932	-3239055.8123	13.5	M022	ALT-AZ
5109473.019	2006496.2316	-3238932.5648	13.5	M023	ALT-AZ
5109535.446	2006544.3017	-3238803.5868	13.5	M024	ALT-AZ
5109509.7	2006715.8524	-3238738.7384	13.5	M025	ALT-AZ
5109381.6007	2006754.6457	-3238918.9632	13.5	M026	ALT-AZ
5109312.2349	2006877.3136	-3238953.9012	13.5	M027	ALT-AZ
5109315.2696	2006780.0367	-3239008.9417	13.5	M028	ALT-AZ
5109311.493	2006738.1555	-3239040.7898	13.5	M029	ALT-AZ
5109329.2508	2007024.5085	-3238835.8675	13.5	M030	ALT-AZ
5109292.2496	2007090.8821	-3238853.3144	13.5	M031	ALT-AZ
5109252.5743	2007305.935	-3238782.9734	13.5	M032	ALT-AZ
5109533.1459	2007544.4614	-3238189.1768	13.5	M033	ALT-AZ
5109194.7659	2007172.112	-3238959.0568	13.5	M034	ALT-AZ
5109112.9398	2007170.4125	-3239090.888	13.5	M035	ALT-AZ
5109060.3518	2007152.0037	-3239185.6679	13.5	M036	ALT-AZ
5108984.2505	2007113.5635	-3239331.2502	13.5	M037	ALT-AZ
5108993.1378	2006937.6651	-3239425.6168	13.5	M038	ALT-AZ
5108967.5628	2006971.0624	-3239445.5481	13.5	M039	ALT-AZ
5109012.6197	2006687.2346	-3239548.4941	13.5	M040	ALT-AZ
5109130.4265	2006453.4935	-3239504.0997	13.5	M041	ALT-AZ
5109252.1047	2006421.5787	-3239330.2606	13.5	M042	ALT-AZ
5109505.3576	2006232.9659	-3239043.1579	13.5	M043	ALT-AZ
5109944.4442	2006119.3316	-3238413.5477	13.5	M044	ALT-AZ
5110128.8126	2005185.3941	-3238700.8732	13.5	M045	ALT-AZ
5110695.4515	2005800.6404	-3237420.288	13.5	M046	ALT-AZ
5109303.6363	2006209.1645	-3239378.8588	13.5	M047	ALT-AZ
5111627.01	2004728.6922	-3236615.1496	13.5	M048	ALT-AZ
5110859.8592	2003567.5587	-3238556.2616	13.5	M049	ALT-AZ
5109685.4311	2004775.398	-3239658.2787	13.5	M050	ALT-AZ
5109283.1117	2005908.8575	-3239595.5034	13.5	M051	ALT-AZ
5109011.1679	2006078.2881	-3239923.1199	13.5	M052	ALT-AZ
5108720.4025	2006611.3984	-3240059.3351	13.5	M053	ALT-AZ
5108786.2401	2007564.0307	-3239366.6432	13.5	M054	ALT-AZ
5108946.4049	2007981.3093	-3238852.3003	13.5	M055	ALT-AZ
5108974.9681	2008418.6174	-3238532.5051	13.5	M056	ALT-AZ
5110765.2696	2007721.0728	-3236121.9314	13.5	M057	ALT-AZ
5109580.3844	2009953.589	-3236618.1996	13.5	M058	ALT-AZ
5108354.3753	2010418.1312	-3238283.651	13.5	M059	ALT-AZ
5107225.769	2009688.3025	-3240524.6007	13.5	M060	ALT-AZ
5108250.2917	2006399.0679	-3240938.8982	13.5	M061	ALT-AZ
5108685.7928	2005039.9408	-3241093.8176	13.5	M062	ALT-AZ
5109720.3198	2003320.2326	-3240520.8836	13.5	M063	ALT-AZ
